House,Address,Room,Floor,Age,Price
322,Ilam,6,3,12,16458
323,Biratnagar,6,3,6,9579
324,Dhulikhel,6,2,15,25512
325,Inaruwa,6,3,7,26558
326,Phidim,2,1,19,10866
327,Mechinagar,3,3,12,9786
328,Mechinagar,2,3,3,18692
329,Jaleswar,3,2,13,5535
330,Mechinagar,4,2,8,25903
331,Birtamod,2,2,5,18305
332,Gaur,3,3,8,19412
333,Kohalpur,5,2,9,14501
334,Dharan,6,3,15,8446
335,Mechinagar,4,2,7,27996
336,Damak,2,1,15,20003
337,Damak,4,2,16,24245
338,Lalbandi,4,3,18,23544
339,Mechinagar,3,2,9,15905
340,Gaur,5,3,4,6439
341,Lahan,3,2,5,12032
342,Tikapur,6,1,11,18606
343,Gulariya,2,1,17,21465
344,Malangwa,5,3,11,17423
345,Bhadrapur,5,1,9,5803
346,Sauraha,2,3,17,19284
347,Gurhewa,5,2,8,29135
348,Dhankuta,3,3,14,24261
349,Phidim,2,3,6,23220
350,Biratnagar,4,3,14,14223
351,Mechinagar,3,2,19,12071
352,Biratnagar,6,1,18,12992
353,Urlabari,2,3,19,28020
354,Damak,2,1,20,13137
355,Dhangadhi,6,2,2,24309
356,Phidim,2,3,3,16027
357,Mechinagar,6,2,2,14830
358,Inaruwa,3,3,14,22846
359,Gauradaha,4,2,16,11702
360,Rajbiraj,5,1,8,14131
361,Lalbandi,2,3,20,12488
362,Sauraha,2,2,19,20859
363,Dharan,4,3,2,11110
364,Attariya,3,3,6,19042
365,Dhulikhel,3,1,16,26339
366,Itahari,4,2,10,19046
367,Rajbiraj,5,1,10,17415
368,Itahari,3,3,20,11506
369,Lahan,3,2,2,6427
370,Khadbari,6,3,5,27606
371,Gulariya,6,3,2,18956
372,Damak,2,3,13,15037
373,Kathari,5,3,16,20778
374,Dhulikhel,6,2,4,24791
375,Bhadrapur,5,3,17,8641
376,Phidim,4,2,16,14926
377,Kankai,3,3,12,6940
378,Inaruwa,6,3,10,5831
379,Kankai,6,2,13,11335
380,Itahari,5,2,11,19756
381,Dhangadhi,2,1,13,16114
382,Koshi,3,3,6,10731
383,Rajbiraj,5,2,7,26122
384,Birtamod,6,1,3,21724
385,Kamalamai,3,1,10,16033
386,Itahari,4,3,9,27339
387,Golbazar,3,3,6,25590
388,Damak,3,3,4,8772
389,Mechinagar,3,3,7,23279
390,Rajbiraj,3,2,5,28120
391,Damak,5,1,3,25694
392,Birgunj,6,3,16,9682
393,Gulariya,6,2,5,8253
394,Kankai,2,1,10,16278
395,Beldandi,4,1,9,10688
396,Itahari,6,3,3,18066
397,Lalbandi,5,1,4,14686
398,Phidim,4,2,6,12641
399,Dhangadhi,2,2,13,26612
400,Rajbiraj,4,1,12,20051
401,Urlabari,3,1,2,20590
402,Bhimeshwar,3,1,11,19158
403,Dhangadhi,2,3,16,16533
404,Siddharthanagar,5,2,4,10981
405,Kalaiya,4,2,9,26575
406,Kohalpur,2,3,10,23999
407,Damak,6,3,11,8515
408,Bharatpur,2,1,6,26662
409,Dhulikhel,2,3,3,28949
410,Dhankuta,2,2,17,23917
411,Phidim,4,3,20,12370
412,Kathari,4,3,14,22449
413,Dharan,3,1,4,27745
414,Birtamod,5,3,20,20669
415,Dharan,6,3,5,12113
416,Narayangarh,2,1,5,12270
417,Itahari,5,2,20,26293
418,Belbari,6,1,6,10106
419,Dharan,4,2,7,7310
420,Bhimeshwar,2,2,2,14503
421,Bhadrapur,6,3,5,16915
422,Dharan,3,2,11,8401
423,Sauraha,6,3,18,22113
424,Khandbari,6,2,20,21369
425,Mechinagar,6,3,17,24511
426,Kankai,6,3,13,29056
427,Dhankuta,6,3,8,14907
428,Sauraha,5,1,19,28717
429,Pokhara,4,3,5,20499
430,Biratnagar,6,3,4,27310
431,Dhulikhel,3,3,18,24920
432,Biratnagar,4,1,12,24591
433,Mechinagar,3,1,9,14048
434,Gaur,3,2,19,27611
435,Bhadrapur,6,2,13,6398
436,Biratnagar,4,2,15,29577
437,Damak,6,2,7,23403
438,Damak,5,2,5,24753
439,Biratnagar,2,1,3,17405
440,Kankai,4,2,17,15640
441,Kathari,4,1,13,22071
442,Bhadrapur,6,3,3,25059
443,Narayangarh,4,3,13,5528
444,Damak,3,2,4,21647
445,Gauradaha,3,2,10,17238
446,Kamalamai,2,2,2,23705
447,Birtamod,6,2,3,28101
448,Attariya,5,3,17,20256
449,Bhadrapur,4,3,2,28962
450,Gauradaha,3,3,17,20703
451,Damak,3,1,8,20217
452,Birtamod,4,2,13,21220
453,Beldandi,3,3,3,10394
454,Dharan,2,3,7,21056
455,Gulariya,4,2,3,12965
456,Kathari,4,3,7,18633
457,Birgunj,2,1,19,8075
458,Gauradaha,2,1,12,21767
459,Damak,5,2,18,29355
460,Gauradaha,4,2,17,20469
461,Kohalpur,6,2,7,28026
462,Biratchowk,2,3,12,12044
463,Attariya,6,3,9,21186
464,Nepalganj,3,1,5,26923
465,Urlabari,2,2,20,10867
466,Siddharthanagar,2,3,5,12371
467,Siddharthanagar,5,1,7,18029
468,Hetauda,5,2,16,5341
469,Kankai,5,3,17,14987
470,Hetauda,5,2,8,26920
471,Dharan,2,2,18,13332
472,Mechinagar,6,3,9,24569
473,Pokhara,3,2,4,7324
474,Dhangadhi,4,2,3,13977
475,Phidim,3,3,14,20097
476,Rajbiraj,6,1,20,21363
477,Dhangadhi,5,1,2,5615
478,Chainpur,4,2,18,15680
479,Kakarvitta,4,1,15,18879
480,Beldandi,5,3,5,26366
481,Gurhewa,5,1,17,18548
482,Ilam,6,1,16,17029
483,Damak,5,3,8,14766
484,Jaleswar,2,1,10,5921
485,Itahari,5,3,18,14958
486,Itahari,3,2,4,22840
487,Inaruwa,6,2,20,24373
488,Lalbandi,6,2,14,26018
489,Sauraha,2,2,7,8648
490,Kankai,5,1,12,26276
491,Biratchowk,2,1,4,21806
492,Lahan,3,3,8,21216
493,Dharan,2,2,19,19101
494,Dhangadhi,6,1,4,15761
495,Kakarvitta,4,3,15,5995
496,Dharan,2,3,20,18328
497,Lahan,4,3,2,13232
498,Dharan,4,3,20,5267
499,Gauradaha,4,2,15,8439
500,Biratnagar,2,2,16,9156
501,Biratnagar,6,2,2,10047
502,Dharan,3,2,4,5894
503,Dhulikhel,6,2,8,24331
504,Lalbandi,5,2,5,15661
505,Lahan,4,2,16,28932
506,Malangwa,4,2,7,19777
507,Gulariya,4,3,17,6892
508,Itahari,2,2,5,10913
509,Bhadrapur,6,1,5,18795
510,Damak,4,2,14,13064
511,Attariya,2,2,16,21351
512,Dharan,2,2,4,27909
513,Dharan,3,1,6,8721
514,Siraha,5,2,16,25503
515,Tikapur,6,2,12,15514
516,Birtamod,3,1,10,21560
517,Itahari,3,2,15,16373
518,Bharatpur,2,3,4,25984
519,Damak,2,2,16,25702
520,Kohalpur,3,3,4,11228
521,Mechinagar,6,1,16,20499
522,Mechinagar,6,3,6,25863
523,Dhangadhi,4,1,4,13512
524,Dharan,2,1,2,5542
525,Bhadrapur,5,2,8,26738
526,Birgunj,5,3,4,15384
527,Tikapur,2,3,16,22206
528,Itahari,2,2,18,7983
529,Urlabari,4,1,6,6474
530,Biratnagar,3,1,7,14391
531,Sauraha,6,2,14,22031
532,Belbari,3,2,12,9788
533,Kankai,4,3,13,21129
534,Dharan,3,2,19,21356
535,Kalaiya,2,2,15,18191
536,Damak,5,1,6,13409
537,Dhulikhel,6,2,6,18886
538,Dharan,6,3,13,28907
539,Phidim,6,1,2,17765
540,Lahan,6,1,2,28019
541,Gauradaha,6,3,2,6930
542,Rajbiraj,5,1,13,18704
543,Sauraha,5,2,3,9787
544,Dhankuta,6,3,4,5228
545,Phidim,6,1,10,11916
546,Biratnagar,2,3,9,7069
547,Mechinagar,2,3,5,18367
548,Bhadrapur,4,2,11,18967
549,Rajbiraj,5,1,2,7698
550,Phidim,3,3,18,29968
551,Mechinagar,4,3,12,11790
552,Rajbiraj,2,2,12,27600
553,Birgunj,2,1,13,19078
554,Lalbandi,2,3,8,22368
555,Tikapur,3,3,19,9298
556,Itahari,6,3,15,17266
557,Gauradaha,4,1,6,16531
558,Rajbiraj,5,1,18,24156
559,Attariya,4,3,15,14707
560,Dhankuta,3,2,8,22084
561,Itahari,3,1,11,21001
562,Rajbiraj,2,1,10,19916
563,Gaur,2,3,8,10641
564,Koshi,5,2,17,5531
565,Narayangarh,6,3,16,16876
566,Inaruwa,4,3,12,16508
567,Lahan,3,1,9,13102
568,Itahari,2,2,9,19290
569,Inaruwa,6,2,8,23321
570,Inaruwa,6,3,5,15465
571,Biratnagar,2,2,4,16281
572,Hetauda,3,2,19,21124
573,Dhulikhel,2,2,6,12485
574,Khadbari,4,2,9,29541
575,Beldandi,5,2,18,26294
576,Beldandi,2,3,13,23735
577,Tikapur,2,2,4,7633
578,Gauradaha,6,2,4,22997
579,Kamalamai,2,1,8,22262
580,Dhangadhi,2,1,12,16486
581,Golbazar,3,1,3,29803
582,Dhankuta,5,3,17,27054
583,Itahari,5,1,14,6005
584,Kankai,2,3,10,17755
585,Dharan,5,3,11,29877
586,Rajbiraj,6,3,9,10665
587,Kathari,4,2,3,21239
588,Kohalpur,2,2,8,19296
589,Kankai,5,3,18,6029
590,Bhadrapur,3,2,19,26465
591,Bhadrapur,3,2,15,17683
592,Dharan,3,2,19,13004
593,Khadbari,5,1,4,11240
594,Itahari,2,2,4,27805
595,Dhulikhel,2,2,4,22330
596,Siddharthanagar,5,3,4,21729
597,Dharan,5,1,8,10075
598,Damak,2,3,6,27526
599,Jaleswar,4,1,3,9811
600,Kankai,2,2,20,15044
601,Gulariya,5,2,17,15184
602,Mechinagar,5,3,13,7603
603,Khadbari,2,2,18,16969
604,Sauraha,6,1,8,23995
605,Dhangadhi,2,1,6,12773
606,Biratnagar,5,2,14,29720
607,Lahan,5,1,8,15333
608,Itahari,2,2,5,6172
609,Kalaiya,2,1,14,13018
610,Lahan,2,1,12,8933
611,Kankai,4,2,8,27915
612,Kohalpur,5,2,18,8031
613,Jaleswar,4,2,10,6033
614,Inaruwa,5,3,17,14358
615,Kohalpur,4,1,14,24980
616,Attariya,4,1,5,18203
617,Dharan,2,2,3,23536
618,Siraha,6,1,19,10934
619,Phidim,5,2,8,11108
620,Siraha,6,1,16,19471
621,Lahan,5,2,13,19566
622,Dharan,4,1,18,10315
623,Bhadrapur,2,3,20,26813
624,Itahari,5,2,14,12146
625,Dharan,4,3,12,16309
626,Mechinagar,5,2,11,23204
627,Tikapur,4,2,20,6243
628,Urlabari,5,3,16,24030
629,Attariya,6,3,6,24922
630,Inaruwa,5,2,6,27939
631,Dhankuta,3,3,8,24208
632,Inaruwa,2,3,19,18255
633,Itahari,3,1,15,6764
634,Gauradaha,4,2,2,25175
635,Kankai,4,1,18,20271
636,Kohalpur,4,3,7,27833
637,Mechinagar,3,2,8,13686
638,Tikapur,4,2,20,11225
639,Kohalpur,3,2,9,9693
640,Phidim,2,1,17,13572
641,Mechinagar,2,1,20,24371
642,Gauradaha,4,1,13,6933
643,Tikapur,2,3,18,27895
644,Itahari,2,1,7,7585
645,Damak,4,2,6,25902
646,Dharan,2,2,3,8805
647,Bhimeshwar,6,1,4,17730
648,Itahari,4,3,16,23104
649,Kalaiya,3,1,18,5768
650,Biratnagar,4,3,4,13083
651,Kohalpur,3,2,17,15183
652,Kankai,3,2,10,12234
653,Sauraha,6,3,4,10788
654,Itahari,2,2,14,18595
655,Itahari,3,3,12,17488
656,Damak,5,3,15,19561
657,Dhangadhi,3,1,10,17885
658,Kalaiya,2,1,3,27155
659,Itahari,2,3,15,14424
660,Phidim,2,3,5,28091
661,Siddharthanagar,5,1,18,17468
662,Tikapur,5,2,5,18206
663,Dharan,2,1,4,27925
664,Itahari,4,1,13,12600
665,Hetauda,3,1,18,8430
666,Tansen,6,3,5,6588
667,Inaruwa,6,3,12,8346
668,Dharan,5,2,17,27733
669,Kankai,5,2,11,19182
670,Urlabari,2,3,11,28639
671,Gulariya,6,1,12,25879
672,Mechinagar,2,1,15,27515
673,Kankai,2,1,19,27036
674,Bhadrapur,4,1,12,9109
675,Tikapur,5,2,6,16426
676,Dharan,6,1,17,23691
677,Dharan,6,1,9,28663
678,Kankai,3,2,5,8790
679,Gauradaha,6,2,19,16619
680,Siddharthanagar,5,3,17,15392
681,Biratchowk,5,3,3,9550
682,Damak,6,2,11,6093
683,Kankai,6,2,18,6264
684,Birtamod,3,3,12,24597
685,Dhulikhel,4,1,19,22049
686,Siddharthanagar,3,1,20,7437
687,Biratnagar,5,3,11,23689
688,Rajbiraj,4,2,7,29080
689,Urlabari,6,3,19,10600
690,Mechinagar,5,2,2,24305
691,Mechinagar,5,2,8,18531
692,Janakpur,5,1,12,13475
693,Lahan,6,3,8,29494
694,Lalbandi,4,2,2,24815
695,Dhankuta,6,3,11,24559
696,Mechinagar,4,3,8,14075
697,Dharan,6,1,9,28659
698,Inaruwa,6,1,20,10566
699,Kohalpur,4,1,3,6776
700,Kamalamai,6,2,15,29556
701,Belbari,5,2,16,5755
702,Damak,2,2,20,26683
703,Lahan,2,2,14,16385
704,Kohalpur,6,3,13,9141
705,Dhankuta,4,2,13,26408
706,Kohalpur,3,2,8,24332
707,Dhangadhi,3,1,7,10471
708,Kathari,2,3,20,7577
709,Sauraha,5,3,15,5840
710,Kathari,3,2,12,28813
711,Gauradaha,4,2,4,12881
712,Itahari,4,1,19,11354
713,Itahari,4,1,20,20031
714,Itahari,3,2,11,20570
715,Kakarvitta,6,1,7,19138
716,Damak,6,3,19,26551
717,Urlabari,6,1,5,10660
718,Bharatpur,6,3,13,22440
719,Dharan,6,2,12,14095
720,Itahari,6,2,9,25704
721,Inaruwa,2,2,15,17264
722,Biratnagar,4,3,18,24353
723,Phidim,2,3,3,24837
724,Lahan,2,1,6,19303
725,Dhankuta,4,1,7,27973
726,Dharan,4,2,16,23006
727,Kankai,4,2,13,26979
728,Bhojpur,4,1,12,23401
729,Urlabari,5,1,12,28487
730,Rajbiraj,2,1,13,20224
731,Inaruwa,4,2,20,26235
732,Rajbiraj,5,1,19,6655
733,Tikapur,2,2,7,11008
734,Inaruwa,2,3,18,25282
735,Attariya,5,2,4,26332
736,Rajbiraj,5,1,18,29179
737,Birtamod,2,3,5,16152
738,Dharan,2,2,18,12294
739,Inaruwa,2,1,17,13015
740,Itahari,3,3,3,24817
741,Damak,5,2,12,27061
742,Inaruwa,6,1,10,21600
743,Itahari,2,3,9,17776
744,Dharan,6,3,14,13004
745,Beldandi,2,2,8,22736
746,Gauradaha,2,2,7,13304
747,Biratchowk,4,3,2,29072
748,Lahan,2,1,16,8277
749,Damak,2,2,2,13986
750,Khandbari,5,3,9,5222
751,Khadbari,6,3,13,24868
752,Itahari,2,2,10,5359
753,Bhadrapur,3,3,6,20633
754,Birgunj,6,3,3,8836
755,Damak,3,2,11,24313
756,Kamalamai,3,1,6,18570
757,Kalaiya,5,3,18,20978
758,Biratnagar,3,2,6,23882
759,Bhadrapur,2,3,20,16699
760,Bhadrapur,5,2,9,5569
761,Kankai,4,2,13,20216
762,Dhangadhi,3,3,9,29459
763,Itahari,3,1,15,11151
764,Itahari,2,1,5,14454
765,Nepalganj,2,1,6,29293
766,Biratchowk,3,2,8,5252
767,Gaur,4,3,11,18546
768,Sauraha,2,3,11,19388
769,Urlabari,5,2,20,29602
770,Damak,2,2,16,29533
771,Lahan,5,1,15,28354
772,Mechinagar,4,2,11,9994
773,Dhangadhi,6,1,18,26127
774,Jaleswar,6,1,16,28386
775,Sauraha,3,1,6,27073
776,Gauradaha,4,1,10,24967
777,Dharan,6,1,10,29134
778,Phidim,4,3,9,8328
779,Mechinagar,6,2,5,7806
780,Itahari,6,3,11,15852
781,Gulariya,6,3,20,17568
782,Attariya,6,3,5,7544
783,Urlabari,4,1,12,22392
784,Mechinagar,6,2,4,7659
785,Dharan,3,3,10,20903
786,Narayangarh,6,3,2,24472
787,Beldandi,5,1,16,29221
788,Damak,3,1,4,12461
789,Biratchowk,4,2,15,22610
790,Inaruwa,4,2,3,10424
791,Lalbandi,2,1,13,6712
792,Bhadrapur,4,1,17,16190
793,Itahari,6,2,6,12491
794,Attariya,3,1,4,12433
795,Dhulikhel,3,2,7,8439
796,Bhadrapur,4,3,14,14279
797,Birtamod,3,2,20,26559
798,Dhangadhi,5,2,13,29518
799,Inaruwa,5,2,4,23007
800,Damak,2,2,6,6925
801,Lalbandi,3,3,14,9514
802,Dhankuta,2,3,11,7893
803,Rajbiraj,6,3,6,23563
804,Birtamod,4,3,14,5876
805,Gauradaha,2,3,11,22642
806,Siddharthanagar,2,1,5,18980
807,Kalaiya,6,2,10,24157
808,Mechinagar,4,3,3,25540
809,Golbazar,6,3,18,29676
810,Itahari,3,1,9,11977
811,Mechinagar,4,2,9,27731
812,Koshi,6,1,19,23376
